Verified,Game Name,Series,Developer,Publisher,Date Published
Yes,0 A.D.,,Wildfire Games,,
No,007 Legends,James Bond 007,Eurocom,"Activision, Noviy Disk",2012-11-01
No,007: Quantum of Solace,James Bond 007,Treyarch,Activision,2008-10-31
No,100% Orange Juice!,OrangeJuice,Orange_Juice,Fruitbat Factory,2009-08-14
No,3-D Ultra Minigolf,3-D Ultra,Dynamix,Sierra On-Line,1997-01-01
No,5089,3k,Phr00t's Software,,2016-02-03
No,6 Seasons and a Game,,The Human Beings,Moto Studios,2021-01-09
No,688(I) Hunter/Killer,Jane's Combat Simulations,Sonalysts Combat Simulations,"Electronic Arts, Strategy First",1997-07-04
No,7 Days to Die,,The Fun Pimps,,
No,7th Legion,,"Epic Games, Vision Software","MicroProse, Tommo, Nightdive Studios",1997-09-30
No,8-Bit Armies,8-Bit,Petroglyph Games,,2016-04-22
No,A Buttload of Free Games,,Del Nordlund,Sebastian Scaini,2020-04-10
No,A Valley Without Wind,A Valley Without Wind,Arcen Games,,2012-04-24
No,A Valley Without Wind 2,A Valley Without Wind,Arcen Games,,2013-02-18
No,A Way Out,,Hazelight,Electronic Arts,2018-03-23
No,A Year of Rain,,Daedalic Entertainment,,2020-03-13
No,A-10 Cuba!,A-10,Parsoft Interactive,Activision,1996-11-01
No,A.I.M.: Artificial Intelligence Machines,A.I.M.,SkyRiver Studios,"1C Company, 1C Entertainment, Fulqrum Publishing, Andrico, Micro Application",2004-02-27
No,Abuse,,Crack dot Com,"Origin Systems, Bungie Software, RedHat",1996-02-29
No,Acceleration of SUGURI,SUGURI,Orange_Juice,Rockin' Android,2006-08-13
No,Acceleration of SUGURI X-Edition HD,SUGURI,Orange_Juice,Rockin' Android,2012-06-25
No,Ace of Spades,Ace of Spades,Ben Aksoy,,2011-04-04
No,Act of War: Direct Action,Act of War,Eugen Systems,"Atari, THQ Nordic",2005-03-15
No,Act of War: High Treason,Act of War,Eugen Systems,"Atari, THQ Nordic",2006-03-24
No,Actua Ice Hockey 2,Actua Ice Hockey,Gremlin Interactive,"Gremlin Interactive, Urbanscan, Pixel Games UK",1999-04-23
No,Actua Soccer 2,Actua Soccer,Gremlin Interactive,"Gremlin Interactive, Fox Interactive, Pixel Games UK",1997-11-01
No,Actua Soccer 3,Actua Soccer,Gremlin Interactive,"Gremlin Interactive, Microbyte, Edusoft, KISS ltd, Urbanscan",1998-12-04
No,Actua Soccer Club Edition,Actua Soccer,Gremlin Interactive,,1997-05-01
No,Actua Tennis,Actua Sports,Gremlin Interactive,"Gremlin Interactive, Urbanscan, Pixel Games UK",1998-01-01
No,Adidas Power Soccer,Adidas Power Soccer,Psygnosis,,1997-01-01
No,Adorables,,White Rabbit Games,,2016-03-30
No,Age of Chivalry,Chivalry,Team Chivalry,,2007-09-10
No,Age of Empires,Age of Empires,Ensemble Studios,"Microsoft, Ubisoft, MacSoft",1997-10-15
No,Age of Empires II: The Age of Kings,Age of Empires,Ensemble Studios,"Microsoft, Ubisoft, MacSoft",1999-10-10
No,Age of Empires III,Age of Empires,"Ensemble Studios, Big Huge Games, Robot Entertainment","Microsoft Game Studios, Ubisoft, MacSoft",2005-10-18
No,Age of Mythology,Age of Empires,Ensemble Studios,"Microsoft Game Studios, Ubisoft, MacSoft",2002-10-30
No,Age of Mythology: Extended Edition,Age of Empires,"SkyBox Labs, Ensemble Studios, Forgotten Empires",Microsoft Studios,2014-05-08
No,Age of Pirates: Caribbean Tales,Age of Pirates,Akella,"Atari, 1C Company, Playlogic Entertainment, Akella",2006-09-12
No,Age of Wonders,Age of Wonders,"Triumph Studios, Epic Games","Gathering of Developers, Take-Two Interactive, Triumph Studios, Paradox Interactive",1999-11-11
No,Age of Wonders II: The Wizard's Throne,Age of Wonders,Triumph Studios,"Take-Two Interactive, Triumph Studios, Paradox Interactive",2002-06-12
No,Age of Wonders: Shadow Magic,Age of Wonders,Triumph Studios,"Gathering of Developers, Triumph Studios, Paradox Interactive",2003-07-25
No,Agony: Lords of Hell,Agony,Team Alpha,Madmind Studio,
No,Agricultural Simulator 2011,Agricultural Simulator,"United Independent Entertainment, Actalogic",Libredia,2010-10-09
No,Agricultural Simulator 2012,Agricultural Simulator,Actalogic,"United Independent Entertainment, TopCD",2011-11-25
No,Agricultural Simulator 2013,Agricultural Simulator,Actalogic,"United Independent Entertainment, TopCD",2012-11-16
No,Agricultural Simulator: Historical Farming,Agricultural Simulator,Actalogic,"United Independent Entertainment, TopCD",2012-05-25
No,Aground,,"Fancy Fish Games, SnöBox Studio","Fancy Fish Games, Whitethorn Games",2020-04-17
No,AI War 2,AI War,Arcen Games,,2019-10-22
No,AI War: Fleet Command,AI War,Arcen Games,,2009-06-02
No,Air Conflicts: Pacific Carriers,Air Conflicts,Games Farm,bitComposer Games,2012-09-21
No,Air Conflicts: Secret Wars,Air Conflicts,"Games Farm, 3Division","Games Farm, Kalypso, BitComposer",2011-07-15
No,Airfix Dogfighter,,"Paradox Interactive, Unique Development Studios",Eon Digital Entertainment,2000-01-14
No,AirHockey 3D,,Avalanche Team,,2004-03-18
No,Airline Tycoon Deluxe,Airline Tycoon,Spellbound Entertainment,"Black Forest Games, RuneSoft, HandyGames",2003-10-05
No,Airline Tycoon Evolution,Airline Tycoon,Spellbound Entertainment,Monte Cristo,2002-09-17
No,Airline Tycoon First Class,Airline Tycoon,Spellbound Entertainment,"Infogrames, Monte Cristo",1999-11-11
No,Airships: Conquer the Skies,,David Stark,,2018-08-16
No,Alcatraz: Prison Escape,,Zombie Studios,Activision Value Publishing,2001-11-23
No,Alien Blast: The Encounter,,Made by Kiddies,Strategy First,2004-02-09
No,Alien Nations,Alien Nations,Neo Software Produktions,"JoWood Productions, Nordic Games, THQ Nordic, Simon & Schuster Interactive, 1C Company, CD Projekt",1999-05-11
No,Alien Swarm,Alien Swarm,Valve Corporation,,2010-07-19
No,Alien Swarm: Reactive Drop,Alien Swarm,Reactive Drop Team,,2017-04-20
No,Alien Trilogy,Alien,Probe Entertainment,"Acclaim Entertainment, Throwback Entertainment",1996-11-30
No,Aliens versus Predator,Aliens versus Predator,Rebellion Developments,"Fox Interactive, Electronic Arts, Sierra Studios, Rebellion Developments",1999-05-28
No,Aliens versus Predator 2,Aliens versus Predator,"Monolith Productions, Third Law Interactive","Sierra Entertainment, Fox Interactive, MacPlay, Capcom",2001-10-30
No,Allegiance,,Microsoft Research Games,"Microsoft, ZapHop Games",2000-03-16
No,Allied General,Panzer General,Strategic Simulations Inc.,"Strategic Simulations Inc., Mindscape",1995-01-01
No,America's Army,America's Army,U.S. Army,U.S. Army,2002-07-04
No,America's Army 3,America's Army,U.S. Army,U.S. Army,2009-06-17
No,America's Army: Proving Grounds,America's Army,U.S. Army,U.S. Army,2015-10-01
No,American Conquest,American Conquest,GSC Game World,cdv Software Entertainment,2002-11-15
No,American Conquest: Divided Nation,American Conquest,Revolution of Strategy GmbH,cdv Software Entertainment,2006-01-01
No,American Conquest: Fight Back,American Conquest,GSC Game World,cdv Software Entertainment,2003-08-29
No,Among Us,Among Us,Innersloth,,2018-11-16
No,Amulets & Armor,,"United Software Artists, Exiguus Entertainment",,1997-01-01
No,An Elder Scrolls Legend: Battlespire,The Elder Scrolls,Bethesda Softworks,,1997-12-02
No,Anarchy Arcade,,Elijah Newman-Gomez,,
No,Ancient Conquest: Quest for the Golden Fleece,,Megamedia Australia,Re:Action Entertainment,1999-04-12
No,Ancient Wars: Sparta,,World Forge,"Playlogic Entertainment, Russobit-M, Eidos Interactive",2007-04-20
No,Angels Fall First,,Strangely Interactive Ltd,,
No,Anno 1404,Anno,"Related Designs, Blue Byte Software",Ubisoft,2009-06-23
No,Anno 1404: History Edition,Anno,Ubisoft Mainz,Ubisoft,2020-06-25
No,Anno 1503,Anno,Max Design,"Sunflowers Interactive Entertainment Software, Electronic Arts, Ubisoft",2002-10-23
No,Anno 1602: Creation of a New World,Anno,Max Design,"Sunflowers Interactive Entertainment Software, Infogrames, GT Interactive, Electronic Arts, Ubisoft",1998-09-24
No,Anno 1602: History Edition,Anno,"Ubisoft Mainz, Max Design",Ubisoft,2020-06-25
No,Anno 1701,Anno,Related Designs,"Sunflowers Interactive Entertainment Software, Deep Silver, Aspyr Media, Ubisoft",2006-10-26
No,Anno 2070,Anno,"Related Designs, Ubisoft Blue Byte",Ubisoft,2011-11-17
No,Anstoss 3: Der Fußballmanager,Anstoss,Ascaron Entertainment,"Ascaron Entertainment, Kalypso Media",2000-02-10
No,Antinomy of Common Flowers,Touhou Project,"Team Shanghai Alice, Twilight Frontier",SUNFISH Co.,2018-01-05
No,Apache Longbow,,Digital Integration,"Interactive Magic, iEntertainment Network",1995-08-01
No,Apocalyptica,,Extreme FX,Konami,2003-10-23
No,AquaNox,AquaNox,Massive Development,"Fishtank Interactive, JoWood Productions, Nordic Games, THQ Nordic",2001-11-30
No,Arcanum: Of Steamworks & Magick Obscura,,Troika Games,"Sierra Entertainment, Activision",2001-08-21
No,Archeblade,,CodeBrush,,2014-04-25
No,Arcomage,Might and Magic,"New World Computing, Stick Man Games",3DO,1999-02-01
No,ARK Park,ARK,Snail Games,,2018-03-22
No,ARK: Survival Evolved,ARK,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement, Abstraction Games",Studio Wildcard,2017-08-29
No,Arma 2,Arma,Bohemia Interactive,"505 Games, Got Game Entertainment",2009-06-17
No,Arma 3,Arma,Bohemia Interactive,Bohemia Interactive,2013-09-12
No,Arma: Armed Assault,Arma,"Bohemia Interactive, Black Element Software","505 Games, Atari",2006-11-10
No,Arma: Cold War Assault,"Arma, Operation Flashpoint",Bohemia Interactive,Codemasters,2001-06-22
No,Armies of Exigo,,Black Hole Entertainment,"Electronic Arts, City Interactive, Noviy Disk",2004-11-30
No,Army Men,Army Men,3DO,"3DO, Sold Out Software, 2K Games",1998-05-01
No,Army Men II,Army Men,3DO,"3DO, Sold Out Software, 2K Games",1999-03-23
No,Army Men: RTS,Army Men,Pandemic Studios,"3DO, 2K Games",2002-03-24
No,Army Men: World War,Army Men,3DO,"3DO, Sold Out Software, 2K Games",2000-03-06
No,AssaultCube,,Rabid Viper Productions,,2008-11-21
No,Assetto Corsa,Assetto Corsa,Kunos Simulazioni,,2014-12-19
No,Assetto Corsa Competizione,Assetto Corsa,"Kunos Simulazioni, D3T",505 Games,2019-05-29
No,Automobilista,Automobilista,Reiza Studios,,2016-02-29
No,Avorion,,Boxelware,,2020-03-09
No,AX:EL - Air XenoDawn,,Alex Piola,KISS ltd,2015-12-04
No,Axis & Allies (2004),Axis & Allies,TimeGate Studios,Atari,2004-11-02
No,Backpacker 3,Backpacker,"Pan Vision, TATI Mixedia",Aniware AB,2003-10-24
No,Backyard Football 2002,Backyard Football,Humongous Entertainment,Infogrames,2001-09-19
No,Baku Baku,,Sega AM3,Sega,1996-09-09
No,Baldur's Gate,Baldur's Gate,"BioWare, Black Isle Studios","Interplay Entertainment, Sega, Atari, Beamdog, MacPlay",1998-12-21
No,Baldur's Gate 3,Baldur's Gate,Larian Studios,,
No,Baldur's Gate II: Enhanced Edition,Baldur's Gate,Overhaul Games,Beamdog,2013-11-15
No,Baldur's Gate II: Shadows of Amn,Baldur's Gate,"BioWare, Black Isle Studios","Interplay Entertainment, Sega, Atari, Beamdog, MacPlay, MacPlay",2000-09-24
No,Baldur's Gate: Enhanced Edition,Baldur's Gate,Overhaul Games,Beamdog,2012-11-28
No,Ball 3D: Soccer Online,Soccer Online,Unusualsoft,,2017-03-31
No,BallisticNG,,Neognosis,,2018-12-14
No,Ballistics,,GRIN,"Xicat Interactive, Linux Game Publishing",2001-10-19
No,Barony,,Turning Wheel LLC,,2015-06-23
No,Barotrauma,,"Undertow Games, FakeFish",Daedalic Entertainment,2023-03-13
No,Base Defense,Half-Life mods and fangames,PLut,,2017-11-20
No,Battalion 1944,,Bulkhead Interactive,Square Enix,2019-05-23
No,Battle Arena Toshinden,Battle Arena Toshinden,Tamsoft,Playmates Interactive Entertainment,1996-01-01
No,Battle Beast,,7th Level,BMG Interactive,1995-01-01
No,Battle Isle 3,Battle Isle,Blue Byte Software,"Blue Byte Software, Ubisoft",1995-01-01
No,Battle Isle: The Andosia War,Battle Isle,"Blue Byte Software, Cauldron","Blue Byte Software, Ubisoft",2000-11-24
No,Battle vs. Chess,,Targem Games,TopWare Interactive,2011-05-17
No,Battlefield 1942,Battlefield,DICE,Electronic Arts,2002-09-10
No,Battlefield 2,Battlefield,"DICE, DICE Canada",Electronic Arts,2005-06-21
No,Battlefield 2142,Battlefield,DICE,Electronic Arts,2006-10-17
No,Battlefield Vietnam,Battlefield,DICE Canada,Electronic Arts,2004-03-14
No,Battleship: Surface Thunder,Battleship,Meyer/Glass Interactive,Hasbro Interactive,2000-09-12
No,Battlestar Galactica,Battlestar Galactica,Auran,Sierra On-Line,2007-10-23
No,Battlestations: Midway,Battlestations,Eidos Hungary,"Eidos Interactive, Feral Interactive",2007-01-30
No,Battlestations: Pacific,Battlestations,Eidos Hungary,"Eidos Interactive, Warner Bros. Interactive Entertainment, Square Enix, Feral Interactive",2009-05-12
No,Battlezone,Battlezone,Activision,,1998-03-11
No,Beast Wars: Transformers,Transformers,SCE Cambridge Studio,Hasbro Interactive,1998-05-31
No,Beijing 2008,Summer Olympics,Eurocom,Sega,2008-07-08
No,Besiege,,Spiderling Studios,,2020-02-18
No,Bet on Soldier: Blood Sport,Bet on Soldier,Kylotonn,Microids,2005-09-26
No,Big Scale Racing,,BumbleBeast,"HD Publishing, Summitsoft Entertainment",2002-08-18
No,Bionic Commando (2009),Bionic Commando,GRIN,"Capcom, 1C Company",2009-07-28
No,Birthright: The Gorgon's Alliance,,Synergistic Software,Sierra,1996-01-01
No,Black & White,Black & White,Lionhead Studios,"Electronic Arts, Sold-Out Software, Feral Interactive",2001-03-25
No,Black Ice,,Super Duper Garrett Cooper,,
No,Black Mesa,Half-Life mods and fangames,Crowbar Collective,,2020-03-06
No,Blackwake,,Mastfire Studios,,2020-02-19
No,BlastZone 2,,Matt Edzenga,Black Shell Media,2015-02-19
No,Blazing Angels 2: Secret Missions of WWII,Blazing Angels,Ubisoft Romania,Ubisoft,2007-09-07
No,Blazing Angels: Squadrons of WWII,Blazing Angels,Ubisoft Romania,Ubisoft,2006-03-28
No,Blitzkrieg,Blitzkrieg,"Nival, La Plata Studios, General Arcade","1C Company, Cdv Software Entertainment",2003-06-04
No,Blitzkrieg 2,Blitzkrieg,Nival,,2005-10-02
No,Blockland,,"Eric Hartman, Ben Garney",Step 1 Games,2007-02-24
No,Blood,Blood,"Monolith Productions, Sunstorm Interactive","GT Interactive, Infogrames, Atari",1997-05-31
No,Blood & Magic,Dungeons & Dragons,Tachyon Studios,Interplay Entertainment,1996-01-01
No,Blood Bowl (2009),Blood Bowl,Cyanide,Focus Home Interactive,2009-06-26
No,Blood Bowl: Chaos Edition,Blood Bowl,Cyanide,Focus Home Interactive,2012-10-11
No,Blood II: The Chosen,Blood,Monolith Productions,"GT Interactive, Infogrames, Atari",1998-11-25
No,Blood: Fresh Supply,Blood,"Monolith Productions, Sunstorm Interactive, Night Dive Studios","Night Dive Studios, Atari",2019-05-09
No,Bloodlines of Prima,,Amazastrophic,,
No,Bloody Good Time,,Outerlight,Ubisoft,2010-10-29
No,Bloons TD 6,Bloons Tower Defense,Ninja Kiwi,,2018-12-17
No,Bloons TD Battles 2,Bloons Tower Defense,Ninja Kiwi,,2021-11-30
No,Blur,,Bizarre Creations,Activision,2010-05-25
No,BMW M3 Challenge,,Blimey! Games,"10tacle Studios, BMW AG",2007-09-11
No,Borderlands,Borderlands,"Gearbox Software, Demiurge Studios, Shadows in Darkness, Darkside Games","2K Games, Feral Interactive",2009-10-26
No,Borderlands 2,Borderlands,Gearbox Software,"2K Games, Aspyr Media",2012-09-18
No,Borderlands 3,Borderlands,Gearbox Software,2K Games,2019-09-13
No,Borderlands: The Pre-Sequel,Borderlands,"2K Australia, Gearbox Software","2K Games, Aspyr Media",2014-10-14
No,Boss Rally,,Boss Game Studios,SouthPeak Interactive,1999-04-30
No,Boundel,,Eren Aydın,,
No,Bowl VR,,Carbon Fiber Games,,2016-06-24
No,BrainBread 2,BrainBread,Reperio Studios,,2022-03-09
No,Bravery & Greed,,Rekka Games,Team17,2022-11-15
No,Breach (2011),,Atomic Games,,2011-01-26
No,Breed,,Brat Designs Ltd.,Cdv Software Entertainment,2004-03-19
No,Brickadia,,"Brickadia, LLC",,
No,Broke Protocol,,Cylinder Studios,,
No,Brothers in Arms: Hell's Highway,Brothers in Arms,Gearbox Software,Ubisoft,2008-10-07
No,Brothers in Arms: Road to Hill 30,Brothers in Arms,Gearbox Software,"Ubisoft, Feral Interactive",2005-03-15
No,Bus Simulator 18,Bus Simulator,stillalive studios,astragon Entertainment,2018-06-13
No,Cabela's Big Game Hunter 2005 Adventures,Cabela's Big Game Hunter,Fun Labs,Activision Value,2004-09-06
No,Call of Duty,Call of Duty,"Infinity Ward, Gray Matter Interactive, Pi Studios","Activision, Aspyr Media",2003-10-29
No,Call of Duty 2,Call of Duty,Infinity Ward,"Activision, Aspyr Media",2005-10-25
No,Call of Duty 4: Modern Warfare,Call of Duty: Modern Warfare,Infinity Ward,"Activision, Aspyr Media, Noviy Disk",2007-11-05
No,Call of Duty: Black Ops III,Call of Duty: Black Ops,Treyarch,Activision,2015-11-06
No,Call of Duty: World at War,Call of Duty: Black Ops,"Treyarch, Arkane Studios, Certain Affinity, Pi Studios","Activision, Noviy Disk",2008-11-11
No,Call of Duty: WWII,Call of Duty,"Sledgehammer Games, Raven Software",Activision,2017-11-03
No,Call of Juarez,Call of Juarez,Techland,"Ubisoft, Focus Home Interactive",2006-09-05
No,Call of Juarez: Bound in Blood,Call of Juarez,Techland,Ubisoft,2009-06-30
No,Call to Arms,,Digitalmindsoft,,2018-04-27
No,Call to Power II,Call to Power,"Activision, Mad Doc Software",,2000-11-15
No,Caller's Bane,,Mojang,,2014-12-11
No,Capitalism II,Capitalism,Enlight Software,Ubisoft,2001-12-17
No,CapRiders: Euro Soccer,,3GoGames,,
No,Capsular,,Gunschlinger,,2019-07-25
No,Carmageddon,Carmageddon,Stainless Games,"SCi Games, Sales Curve Interactive, Interplay Entertainment, Brasoft, Aspyr Media, Stainless Games, THQ Nordic",1997-06-30
No,Carmageddon II: Carpocalypse Now,Carmageddon,Stainless Games,"Sales Curve Interactive, Virgin Interactive, Interplay Entertainment, Sold Out Software, GT Interactive, Stainless Games, THQ Nordic",1998-12-10
No,Carmageddon TDR 2000,Carmageddon,Torus Games,"Sales Curve Interactive, Xicat Interactive, Sold Out Software, Stainless Games, THQ Nordic",2000-09-01
No,Carmageddon: Max Damage,Carmageddon,Stainless Games,"Stainless Games, THQ Nordic",2016-10-27
No,Carnivores: Cityscape,Carnivores,Sunstorm Interactive,Infogrames,2002-03-28
No,CART Precision Racing,,Terminal Reality,Microsoft,1997-11-20
No,Castle Strike,,Related Designs,"Data Becker, Russobit-M, Witt Interactive Software, Phoenix Global Software Ltd.",2004-01-07
No,Catan: Die Erste Insel,The Settlers of Catan,Funatics Software,Ravensburger Interactive Media GmbH,1999-01-01
No,Celestial Command,,"Romenics, Artaani, Riya",Romenics,
No,Cellfactor: Revolution,Cellfactor,"Artificial Studios, Inc., Timeline Interactive, Immersion Software & Graphics Ltda.","AGEIA Technologies, Inc.",2007-05-08
No,Celtic Kings: Rage of War,Imperivm,Haemimont Games,"Wanadoo, Sold Out Software, Haemimont Games, Virtual Programming, MacPlay",2002-08-27
No,Championship Manager 3,Championship Manager,Sports Interactive,"Eidos Interactive, Sold Out Software",1999-03-26
No,Championship Manager 4,Championship Manager,Sports Interactive,Eidos Interactive,2003-03-28
No,Championship Manager: Season 00/01,Championship Manager,Sports Interactive,"Eidos Interactive, Sold Out Software",2000-10-27
No,Championship Manager: Season 01/02,Championship Manager,Sports Interactive,"Eidos Interactive, Sold Out Software",2001-10-12
No,Championship Manager: Season 03/04,Championship Manager,Sports Interactive,Eidos Interactive,2003-11-21
No,Championship Manager: Season 99/00,Championship Manager,Sports Interactive,"Eidos Interactive, Sold Out Software",1999-12-03
No,Chaos Overlords,,Stick Man Games,"New World Computing, Evolution Interactive",1996-04-30
No,Chaser,,Cauldron,"JoWood Productions, Nordic Games, THQ Nordic",2003-06-27
No,Chessmaster 10th Edition,Chessmaster,Ubisoft,,2004-08-12
No,Chessmaster: Grandmaster Edition,Chessmaster,Ubisoft Bucharest,Ubisoft,2007-10-19
No,Chicken Invaders 3,Chicken Invaders,InterAction Studios,,2006-11-11
No,Chicken Invaders 4,Chicken Invaders,InterAction Studios,,2014-06-06
No,Chicken Invaders 5,Chicken Invaders,InterAction Studios,,2015-03-13
No,Chivalry: Medieval Warfare,Chivalry,Torn Banner Studios,,2012-10-16
No,Chris Sawyer's Locomotion,Transport Tycoon,Chris Sawyer,"Atari, Sold Out Software",2004-09-07
No,Chrome,Chrome,Techland,"Techland, Gathering of Developers, 1C Company, Strategy First, Meridian4",2003-06-16
No,Chrome SpecForce,Chrome,Techland,Meridian4,2005-08-19
No,Citadel: Forged with Fire,,"Blue Isle Studios, Virtual Basement, Abstraction",Blue Isle Studios,2019-11-01
No,Civilization II: Test of Time,Civilization,MicroProse,"MicroProse, Hasbro Interactive, 2K Games",1999-07-28
No,Civilization: Call to Power,Call to Power,Activision,"Activision, MacSoft",1999-04-05
No,Clans,,Computerhouse,Strategy First,1999-08-11
No,Clone Hero,,Clone Hero Team,,2022-11-29
No,Close Combat,Close Combat,Atomic Games,"Microsoft, Slitherine",1996-07-01
No,Close Combat III: The Russian Front,Close Combat,Atomic Games,"Microsoft, Slitherine",1999-01-15
No,Close Combat: A Bridge Too Far,Close Combat,Atomic Games,"Microsoft, Slitherine",1997-09-01
No,Close Combat: Cross of Iron,Close Combat,CSO Simtek,Slitherine,2007-02-12
No,Close Combat: First to Fight,Close Combat,Destineer,2K Games,2005-04-18
No,Close Combat: Invasion Normandy,Close Combat,Atomic Games,"Strategic Simulations, Inc., Slitherine",2000-10-10
No,Close Combat: The Battle of the Bulge,Close Combat,Atomic Games,"Strategic Simulations, Inc., Slitherine",1999-11-30
No,Close Quarters Conflict,,Zombie Studios,"City Interactive, Groove Games, 1C Company",2005-03-20
No,Clue: Murder at Boddy Mansion,Clue (Cluedo),Engineering Animation Inc.,Hasbro Interactive,1998-09-01
No,Code of Honor 2: Conspiracy Island,Code of Honor,City Interactive,,2008-08-19
No,Codename CURE,,Hoobalugalar_X,,2017-10-31
No,Codename: Outbreak,,GSC Game World,Virgin Interactive,2001-10-08
No,Codename: Panzers - Cold War,Codename: Panzers,"InnoGlow, StormRegion","Atari, Nordic Games",2009-03-10
No,Codename: Panzers - Phase One,Codename: Panzers,StormRegion,"Cdv Software Entertainment, Nordic Games",2004-06-16
No,Codename: Panzers - Phase Two,Codename: Panzers,StormRegion,"Cdv Software Entertainment, Nordic Games",2005-07-25
No,Colin McRae Rally 04,Colin McRae Rally,Codemasters,"Codemasters, CD Projekt, FX Interactive, Sold Out Software",2004-04-02
No,Colin McRae Rally 2.0,Colin McRae Rally,Codemasters,"Codemasters, Sold Out Software, Buka Entertainment",2000-12-05
No,Colin McRae Rally 2005,Colin McRae Rally,Codemasters,"Codemasters, CD Projekt, 1C Company, Sold Out Software, Feral Interactive",2004-09-27
