Game Name,Series,Developer,Publisher,Date Published
0 A.D.,,Wildfire Games,,
007 Legends,James Bond 007,Eurocom,"Activision, Noviy Disk",2012-11-01
007: Quantum of Solace,James Bond 007,Treyarch,Activision,2008-10-31
100% Orange Juice!,OrangeJuice,Orange_Juice,Fruitbat Factory,2009-08-14
3-D Ultra Minigolf,3-D Ultra,Dynamix,Sierra On-Line,1997-01-01
5089,3k,Phr00t's Software,,2016-02-03
6 Seasons and a Game,,The Human Beings,Moto Studios,2021-01-09
688(I) Hunter/Killer,Jane's Combat Simulations,Sonalysts Combat Simulations,"Electronic Arts, Strategy First",1997-07-04
7 Days to Die,,The Fun Pimps,,
7th Legion,,"Epic Games, Vision Software","MicroProse, Tommo, Nightdive Studios",1997-09-30
8-Bit Armies,8-Bit,Petroglyph Games,,2016-04-22
A Buttload of Free Games,,Del Nordlund,Sebastian Scaini,2020-04-10
A Valley Without Wind,A Valley Without Wind,Arcen Games,,2012-04-24
A Valley Without Wind 2,A Valley Without Wind,Arcen Games,,2013-02-18
A Way Out,,Hazelight,Electronic Arts,2018-03-23
A Year of Rain,,Daedalic Entertainment,,2020-03-13
A-10 Cuba!,A-10,Parsoft Interactive,Activision,1996-11-01
A.I.M.: Artificial Intelligence Machines,A.I.M.,SkyRiver Studios,"1C Company, 1C Entertainment, Fulqrum Publishing, Andrico, Micro Application",2004-02-27
Abuse,,Crack dot Com,"Origin Systems, Bungie Software, RedHat",1996-02-29
Acceleration of SUGURI,SUGURI,Orange_Juice,Rockin' Android,2006-08-13
Acceleration of SUGURI X-Edition HD,SUGURI,Orange_Juice,Rockin' Android,2012-06-25
Ace of Spades,Ace of Spades,Ben Aksoy,,2011-04-04
Act of War: Direct Action,Act of War,Eugen Systems,"Atari, THQ Nordic",2005-03-15
Act of War: High Treason,Act of War,Eugen Systems,"Atari, THQ Nordic",2006-03-24
Actua Ice Hockey 2,Actua Ice Hockey,Gremlin Interactive,"Gremlin Interactive, Urbanscan, Pixel Games UK",1999-04-23
Actua Soccer 2,Actua Soccer,Gremlin Interactive,"Gremlin Interactive, Fox Interactive, Pixel Games UK",1997-11-01
Actua Soccer 3,Actua Soccer,Gremlin Interactive,"Gremlin Interactive, Microbyte, Edusoft, KISS ltd, Urbanscan",1998-12-04
Actua Soccer Club Edition,Actua Soccer,Gremlin Interactive,,1997-05-01
Actua Tennis,Actua Sports,Gremlin Interactive,"Gremlin Interactive, Urbanscan, Pixel Games UK",1998-01-01
Adidas Power Soccer,Adidas Power Soccer,Psygnosis,,1997-01-01
Adorables,,White Rabbit Games,,2016-03-30
Age of Chivalry,Chivalry,Team Chivalry,,2007-09-10
Age of Empires,Age of Empires,Ensemble Studios,"Microsoft, Ubisoft, MacSoft",1997-10-15
Age of Empires II: The Age of Kings,Age of Empires,Ensemble Studios,"Microsoft, Ubisoft, MacSoft",1999-10-10
Age of Empires III,Age of Empires,"Ensemble Studios, Big Huge Games, Robot Entertainment","Microsoft Game Studios, Ubisoft, MacSoft",2005-10-18
Age of Mythology,Age of Empires,Ensemble Studios,"Microsoft Game Studios, Ubisoft, MacSoft",2002-10-30
Age of Mythology: Extended Edition,Age of Empires,"SkyBox Labs, Ensemble Studios, Forgotten Empires",Microsoft Studios,2014-05-08
Age of Pirates: Caribbean Tales,Age of Pirates,Akella,"Atari, 1C Company, Playlogic Entertainment, Akella",2006-09-12
Age of Wonders,Age of Wonders,"Triumph Studios, Epic Games","Gathering of Developers, Take-Two Interactive, Triumph Studios, Paradox Interactive",1999-11-11
Age of Wonders II: The Wizard's Throne,Age of Wonders,Triumph Studios,"Take-Two Interactive, Triumph Studios, Paradox Interactive",2002-06-12
Age of Wonders: Shadow Magic,Age of Wonders,Triumph Studios,"Gathering of Developers, Triumph Studios, Paradox Interactive",2003-07-25
Agony: Lords of Hell,Agony,Team Alpha,Madmind Studio,
Agricultural Simulator 2011,Agricultural Simulator,"United Independent Entertainment, Actalogic",Libredia,2010-10-09
Agricultural Simulator 2012,Agricultural Simulator,Actalogic,"United Independent Entertainment, TopCD",2011-11-25
Agricultural Simulator 2013,Agricultural Simulator,Actalogic,"United Independent Entertainment, TopCD",2012-11-16
Agricultural Simulator: Historical Farming,Agricultural Simulator,Actalogic,"United Independent Entertainment, TopCD",2012-05-25
Aground,,"Fancy Fish Games, SnöBox Studio","Fancy Fish Games, Whitethorn Games",2020-04-17
AI War 2,AI War,Arcen Games,,2019-10-22
AI War: Fleet Command,AI War,Arcen Games,,2009-06-02
Air Conflicts: Pacific Carriers,Air Conflicts,Games Farm,bitComposer Games,2012-09-21
Air Conflicts: Secret Wars,Air Conflicts,"Games Farm, 3Division","Games Farm, Kalypso, BitComposer",2011-07-15
Airfix Dogfighter,,"Paradox Interactive, Unique Development Studios",Eon Digital Entertainment,2000-01-14
AirHockey 3D,,Avalanche Team,,2004-03-18
Airline Tycoon Deluxe,Airline Tycoon,Spellbound Entertainment,"Black Forest Games, RuneSoft, HandyGames",2003-10-05
Airline Tycoon Evolution,Airline Tycoon,Spellbound Entertainment,Monte Cristo,2002-09-17
Airline Tycoon First Class,Airline Tycoon,Spellbound Entertainment,"Infogrames, Monte Cristo",1999-11-11
Airships: Conquer the Skies,,David Stark,,2018-08-16
Alcatraz: Prison Escape,,Zombie Studios,Activision Value Publishing,2001-11-23
Alien Blast: The Encounter,,Made by Kiddies,Strategy First,2004-02-09
Alien Nations,Alien Nations,Neo Software Produktions,"JoWood Productions, Nordic Games, THQ Nordic, Simon & Schuster Interactive, 1C Company, CD Projekt",1999-05-11
Alien Swarm,Alien Swarm,Valve Corporation,,2010-07-19
Alien Swarm: Reactive Drop,Alien Swarm,Reactive Drop Team,,2017-04-20
Alien Trilogy,Alien,Probe Entertainment,"Acclaim Entertainment, Throwback Entertainment",1996-11-30
Aliens versus Predator,Aliens versus Predator,Rebellion Developments,"Fox Interactive, Electronic Arts, Sierra Studios, Rebellion Developments",1999-05-28
Aliens versus Predator 2,Aliens versus Predator,"Monolith Productions, Third Law Interactive","Sierra Entertainment, Fox Interactive, MacPlay, Capcom",2001-10-30
Allegiance,,Microsoft Research Games,"Microsoft, ZapHop Games",2000-03-16
Allied General,Panzer General,Strategic Simulations Inc.,"Strategic Simulations Inc., Mindscape",1995-01-01
America's Army,America's Army,U.S. Army,U.S. Army,2002-07-04
America's Army 3,America's Army,U.S. Army,U.S. Army,2009-06-17
America's Army: Proving Grounds,America's Army,U.S. Army,U.S. Army,2015-10-01
American Conquest,American Conquest,GSC Game World,cdv Software Entertainment,2002-11-15
American Conquest: Divided Nation,American Conquest,Revolution of Strategy GmbH,cdv Software Entertainment,2006-01-01
American Conquest: Fight Back,American Conquest,GSC Game World,cdv Software Entertainment,2003-08-29
Among Us,Among Us,Innersloth,,2018-11-16
Amulets & Armor,,"United Software Artists, Exiguus Entertainment",,1997-01-01
An Elder Scrolls Legend: Battlespire,The Elder Scrolls,Bethesda Softworks,,1997-12-02
Anarchy Arcade,,Elijah Newman-Gomez,,
Ancient Conquest: Quest for the Golden Fleece,,Megamedia Australia,Re:Action Entertainment,1999-04-12
Ancient Wars: Sparta,,World Forge,"Playlogic Entertainment, Russobit-M, Eidos Interactive",2007-04-20
Angels Fall First,,Strangely Interactive Ltd,,
Anno 1404,Anno,"Related Designs, Blue Byte Software",Ubisoft,2009-06-23
Anno 1404: History Edition,Anno,Ubisoft Mainz,Ubisoft,2020-06-25
Anno 1503,Anno,Max Design,"Sunflowers Interactive Entertainment Software, Electronic Arts, Ubisoft",2002-10-23
Anno 1602: Creation of a New World,Anno,Max Design,"Sunflowers Interactive Entertainment Software, Infogrames, GT Interactive, Electronic Arts, Ubisoft",1998-09-24
Anno 1602: History Edition,Anno,"Ubisoft Mainz, Max Design",Ubisoft,2020-06-25
Anno 1701,Anno,Related Designs,"Sunflowers Interactive Entertainment Software, Deep Silver, Aspyr Media, Ubisoft",2006-10-26
Anno 2070,Anno,"Related Designs, Ubisoft Blue Byte",Ubisoft,2011-11-17
Anstoss 3: Der Fußballmanager,Anstoss,Ascaron Entertainment,"Ascaron Entertainment, Kalypso Media",2000-02-10
Antinomy of Common Flowers,Touhou Project,"Team Shanghai Alice, Twilight Frontier",SUNFISH Co.,2018-01-05
Apache Longbow,,Digital Integration,"Interactive Magic, iEntertainment Network",1995-08-01
Apocalyptica,,Extreme FX,Konami,2003-10-23
AquaNox,AquaNox,Massive Development,"Fishtank Interactive, JoWood Productions, Nordic Games, THQ Nordic",2001-11-30
Arcanum: Of Steamworks & Magick Obscura,,Troika Games,"Sierra Entertainment, Activision",2001-08-21
Archeblade,,CodeBrush,,2014-04-25
Arcomage,Might and Magic,"New World Computing, Stick Man Games",3DO,1999-02-01
ARK Park,ARK,Snail Games,,2018-03-22
ARK: Survival Evolved,ARK,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement, Abstraction Games",Studio Wildcard,2017-08-29
Arma 2,Arma,Bohemia Interactive,"505 Games, Got Game Entertainment",2009-06-17
Arma 3,Arma,Bohemia Interactive,Bohemia Interactive,2013-09-12
Arma: Armed Assault,Arma,"Bohemia Interactive, Black Element Software","505 Games, Atari",2006-11-10
Arma: Cold War Assault,"Arma, Operation Flashpoint",Bohemia Interactive,Codemasters,2001-06-22
Armies of Exigo,,Black Hole Entertainment,"Electronic Arts, City Interactive, Noviy Disk",2004-11-30
Army Men,Army Men,3DO,"3DO, Sold Out Software, 2K Games",1998-05-01
Army Men II,Army Men,3DO,"3DO, Sold Out Software, 2K Games",1999-03-23
Army Men: RTS,Army Men,Pandemic Studios,"3DO, 2K Games",2002-03-24
Army Men: World War,Army Men,3DO,"3DO, Sold Out Software, 2K Games",2000-03-06
AssaultCube,,Rabid Viper Productions,,2008-11-21
Assetto Corsa,Assetto Corsa,Kunos Simulazioni,,2014-12-19
Assetto Corsa Competizione,Assetto Corsa,"Kunos Simulazioni, D3T",505 Games,2019-05-29
Automobilista,Automobilista,Reiza Studios,,2016-02-29
Avorion,,Boxelware,,2020-03-09
AX:EL - Air XenoDawn,,Alex Piola,KISS ltd,2015-12-04
Axis & Allies (2004),Axis & Allies,TimeGate Studios,Atari,2004-11-02
Backpacker 3,Backpacker,"Pan Vision, TATI Mixedia",Aniware AB,2003-10-24
Backyard Football 2002,Backyard Football,Humongous Entertainment,Infogrames,2001-09-19
Baku Baku,,Sega AM3,Sega,1996-09-09
Baldur's Gate,Baldur's Gate,"BioWare, Black Isle Studios","Interplay Entertainment, Sega, Atari, Beamdog, MacPlay",1998-12-21
Baldur's Gate 3,Baldur's Gate,Larian Studios,,
Baldur's Gate II: Enhanced Edition,Baldur's Gate,Overhaul Games,Beamdog,2013-11-15
Baldur's Gate II: Shadows of Amn,Baldur's Gate,"BioWare, Black Isle Studios","Interplay Entertainment, Sega, Atari, Beamdog, MacPlay, MacPlay",2000-09-24
Baldur's Gate: Enhanced Edition,Baldur's Gate,Overhaul Games,Beamdog,2012-11-28
Ball 3D: Soccer Online,Soccer Online,Unusualsoft,,2017-03-31
BallisticNG,,Neognosis,,2018-12-14
Ballistics,,GRIN,"Xicat Interactive, Linux Game Publishing",2001-10-19
Barony,,Turning Wheel LLC,,2015-06-23
Barotrauma,,"Undertow Games, FakeFish",Daedalic Entertainment,2023-03-13
Base Defense,Half-Life mods and fangames,PLut,,2017-11-20
Battalion 1944,,Bulkhead Interactive,Square Enix,2019-05-23
Battle Arena Toshinden,Battle Arena Toshinden,Tamsoft,Playmates Interactive Entertainment,1996-01-01
Battle Beast,,7th Level,BMG Interactive,1995-01-01
Battle Isle 3,Battle Isle,Blue Byte Software,"Blue Byte Software, Ubisoft",1995-01-01
Battle Isle: The Andosia War,Battle Isle,"Blue Byte Software, Cauldron","Blue Byte Software, Ubisoft",2000-11-24
Battle vs. Chess,,Targem Games,TopWare Interactive,2011-05-17
Battlefield 1942,Battlefield,DICE,Electronic Arts,2002-09-10
Battlefield 2,Battlefield,"DICE, DICE Canada",Electronic Arts,2005-06-21
Battlefield 2142,Battlefield,DICE,Electronic Arts,2006-10-17
Battlefield Vietnam,Battlefield,DICE Canada,Electronic Arts,2004-03-14
Battleship: Surface Thunder,Battleship,Meyer/Glass Interactive,Hasbro Interactive,2000-09-12
Battlestar Galactica,Battlestar Galactica,Auran,Sierra On-Line,2007-10-23
Battlestations: Midway,Battlestations,Eidos Hungary,"Eidos Interactive, Feral Interactive",2007-01-30
Battlestations: Pacific,Battlestations,Eidos Hungary,"Eidos Interactive, Warner Bros. Interactive Entertainment, Square Enix, Feral Interactive",2009-05-12
Battlezone,Battlezone,Activision,,1998-03-11
Beast Wars: Transformers,Transformers,SCE Cambridge Studio,Hasbro Interactive,1998-05-31
Beijing 2008,Summer Olympics,Eurocom,Sega,2008-07-08
Besiege,,Spiderling Studios,,2020-02-18
Bet on Soldier: Blood Sport,Bet on Soldier,Kylotonn,Microids,2005-09-26
Big Scale Racing,,BumbleBeast,"HD Publishing, Summitsoft Entertainment",2002-08-18
Bionic Commando (2009),Bionic Commando,GRIN,"Capcom, 1C Company",2009-07-28
Birthright: The Gorgon's Alliance,,Synergistic Software,Sierra,1996-01-01
Black & White,Black & White,Lionhead Studios,"Electronic Arts, Sold-Out Software, Feral Interactive",2001-03-25
Black Ice,,Super Duper Garrett Cooper,,
Black Mesa,Half-Life mods and fangames,Crowbar Collective,,2020-03-06
Blackwake,,Mastfire Studios,,2020-02-19
BlastZone 2,,Matt Edzenga,Black Shell Media,2015-02-19
Blazing Angels 2: Secret Missions of WWII,Blazing Angels,Ubisoft Romania,Ubisoft,2007-09-07
Blazing Angels: Squadrons of WWII,Blazing Angels,Ubisoft Romania,Ubisoft,2006-03-28
Blitzkrieg,Blitzkrieg,"Nival, La Plata Studios, General Arcade","1C Company, Cdv Software Entertainment",2003-06-04
Blitzkrieg 2,Blitzkrieg,Nival,,2005-10-02
Blockland,,"Eric Hartman, Ben Garney",Step 1 Games,2007-02-24
Blood,Blood,"Monolith Productions, Sunstorm Interactive","GT Interactive, Infogrames, Atari",1997-05-31
Blood & Magic,Dungeons & Dragons,Tachyon Studios,Interplay Entertainment,1996-01-01
Blood Bowl (2009),Blood Bowl,Cyanide,Focus Home Interactive,2009-06-26
Blood Bowl: Chaos Edition,Blood Bowl,Cyanide,Focus Home Interactive,2012-10-11
Blood II: The Chosen,Blood,Monolith Productions,"GT Interactive, Infogrames, Atari",1998-11-25
Blood: Fresh Supply,Blood,"Monolith Productions, Sunstorm Interactive, Night Dive Studios","Night Dive Studios, Atari",2019-05-09
Bloodlines of Prima,,Amazastrophic,,
Bloody Good Time,,Outerlight,Ubisoft,2010-10-29
Bloons TD 6,Bloons Tower Defense,Ninja Kiwi,,2018-12-17
Bloons TD Battles 2,Bloons Tower Defense,Ninja Kiwi,,2021-11-30
Blur,,Bizarre Creations,Activision,2010-05-25
BMW M3 Challenge,,Blimey! Games,"10tacle Studios, BMW AG",2007-09-11
Borderlands,Borderlands,"Gearbox Software, Demiurge Studios, Shadows in Darkness, Darkside Games","2K Games, Feral Interactive",2009-10-26
Borderlands 2,Borderlands,Gearbox Software,"2K Games, Aspyr Media",2012-09-18
Borderlands 3,Borderlands,Gearbox Software,2K Games,2019-09-13
Borderlands: The Pre-Sequel,Borderlands,"2K Australia, Gearbox Software","2K Games, Aspyr Media",2014-10-14
Boss Rally,,Boss Game Studios,SouthPeak Interactive,1999-04-30
Boundel,,Eren Aydın,,
Bowl VR,,Carbon Fiber Games,,2016-06-24
BrainBread 2,BrainBread,Reperio Studios,,2022-03-09
Bravery & Greed,,Rekka Games,Team17,2022-11-15
Breach (2011),,Atomic Games,,2011-01-26
Breed,,Brat Designs Ltd.,Cdv Software Entertainment,2004-03-19
Brickadia,,"Brickadia, LLC",,
Broke Protocol,,Cylinder Studios,,
Brothers in Arms: Hell's Highway,Brothers in Arms,Gearbox Software,Ubisoft,2008-10-07
